Nombre para mostrar;Clr Clb Newucmdb;Clr Service Code;Subtipo;Grupo de administración de configuración;Clr Istatus;Título;Comentarios;Clr Arr Location;Fecha y hora de modificación del sistema
"gir3-nexa-b-1-1";"true";"TFM3275";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO BOGOTÁ //TRIARA //SERVIDOR VIRTUAL PCCAAS NUEVOS TENANTS PRODUCTIVOS NEXA TRIARA SERVER 101 //HOSTING (HOSTING VIRTUAL)";"CLT219_TRI_INT_PCAAS | Virtualization Layer Software (d-tfm3179-fbe41-0201-sn550g2)";"14/04/23 22:31:41"
"saturno";"true";"KFFT236";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTÁ DC // DC TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT312_TRI_COM_OCTADECACORE07_ACI | Virtualization Layer Software (c-tfm3936-gax15-0204-ch121v5)";"18/02/23 21:08:35"
"srvcsdwhbog01";"true";"DNV0008";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP//CORREO//HOSTING (Hosting Virtual)//TRIARA//Bogota   DNV0008";"";"17/02/23 21:30:30"
"cmsdfm4";"true";"TFM3784";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_ACTUALIZACION_CMDB_VIRTUAL_10";"CLT221_TRI_INT_GESTIONCLARO | Virtualization Layer Software (d-tfm2940-gae15-0205-ch121v5)";"14/04/23 22:34:59"
"monitorreplicaibm";"true";"ZBHB403";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb423-gaf03-29-dl360g10)";"21/03/23 22:39:02"
"prv0233";"true";"PRV1007";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP. COMERCIAL CORP. // CORREO // Bogotá // Triara // HOSTING";"CLT115_TRI_DED_GRUPOAVAL002 _FP | Virtualization Layer Software (d-att4014-fbc30-1302-bl460cg8)";"20/04/23 22:36:58"
"srvservisql1";"true";"CSP0049";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO //  BOGOTA // TRIANA  // HOSTING // IAAS // SERVIDORES VIRTUALES";"";"22/04/23 20:44:36"
"replidb";"true";"OCH0169";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // TRIARA // HOSTING (HOSTING VIRTUAL) //";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software (c-tfm4569-gaf03-08-sr645)";"25/04/23 10:19:04"
"hsjserverap2";"true";"EVN0026";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERICAL CORPO  // CORREO BOGOTA //TRIARA  //HOSTING (HOSTING VIRTUAL)";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm3083-cn05-0215-ch121v5.datacenterdhs.local)";"17/02/23 22:42:04"
"oracleedh0022";"true";"EDH0022";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO // HOSTING (Hosting Virtual) // TRIARA - BOGOTA ///  EDH0022";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm2537-cn05-0207-ch121v5.datacenterdhs.local)";"22/04/23 21:16:04"
"srvvsilab02";"true";"ZGKK210";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:44:30"
"srvvcesdbcont";"true";"ZGKK249";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:45:47"
"hsjserverap3";"true";"EVN0027";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERICAL CORPO  // CORREO BOGOTA //TRIARA  //HOSTING (HOSTING VIRTUAL)";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm3083-cn05-0215-ch121v5.datacenterdhs.local)";"17/04/23 22:42:35"
"ad2";"true";"BEB0023";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // SAP 6000002523 // BOGOTA // TRIARA // HOSTING Nodo 2";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"17/02/23 22:33:47"
"cn04";"true";"BEB0007";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // SAP 6000002389// BOGOTA // TRIARA // HOSTING DEDICADO CN04";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4078-gai12-0206-ch121v5)";"17/02/23 22:34:57"
"bcome03";"true";"BCOME03";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM PYME // COTA //KILOMETRO 7.5 VIA MEDELLIN PARQUE INDUSTRIAL CELTA BODEGA 32 – COTA// HOSTING (HOSTING VIRTUAL)// CTA MATRIZ 323840 + FO SIN VT";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4075-gai12-0203-ch121v5)";"02/03/23 09:36:47"
"fiduwap";"true";"TGXU009";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // BOGOTA // TRIARA // BOGOTA // HOSTING (BACKUP CENTRALIZADO)";"CLT127_TRI_DED_FIDUAGRARIA_FP | Virtualization Layer Software (d-sfd0085-eq18-0210-ch121v3)";"17/04/23 22:42:47"
"lubrit-rdp";"true";"LZS0006";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BARRANQUILLA // TRIARA // HOSTING (HOSTING DEDICADO)";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4070-gax15-0213-ch121v5)";"12/04/23 22:40:21"
"fdp0132";"true";"FDP0132";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // CORREO // BOGOTÁ DC TRIARA // HOSTING  // IaaS - Servidores Virtuales";"CLT116_TRI_DED_GRUPOAVAL003 | Virtualization Layer Software";"12/04/23 15:34:09"
"grabadorceet";"true";"TMP0547";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"MV- GRABACION RED BOX - APP - STAND ALONE - PRD";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm2795-eq18-0205-ch121v5)";"18/02/23 21:04:52"
"gir-all-22-1";"true";"TFM3925";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_PCCAAS OMNICANALIDAD -GIR_VIRTUAL_2";"CLT203_PCAAS_ORTEZAL | Virtualization Layer Software (d-tfm2817-ac19-0401-sn550g2)";"17/02/23 22:34:31"
"vmpbalso";"true";"UCS0082";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"DLok - Servicio de virtualizacion producción principal (TRIARA)";"CLT154_TRI_DED_CONSORCIO | Virtualization Layer Software (d-cme0296-eg23-26-dl360)";"08/03/23 22:37:47"
"crd-triprod-064";"true";"ASY0064";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP  // BOGOTA  // DATA CENTER TRIARA // HOSTING (HOSTING VIRTUAL) //AUTOMATICO MASIVO INCIDENTES";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4073-gai12-0201-ch121v5)";"31/03/23 22:36:35"
"srvcsfilebog01";"true";"DNV0017";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP//CORREO//HOSTING (Hosting Virtual)//TRIARA//Bogota  DNV0017";"CLT305_TRI_COM_OCTADECACORE_FP | Virtualization Layer Software (c-tfm2254-far30-0416-ch121v3)";"17/02/23 22:36:18"
"vmptotumo";"true";"UCS0082";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"DLok - Servicio de virtualizacion producción principal (TRIARA)";"C01_PRODUCCION_COMPENSAR | Virtualization Layer Software (d-cmp0361-gbc15-0201)";"05/04/23 22:40:30"
"hadar2";"true";"TMP0671";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA  // AZURITA1+MADERA2 MV //HOSTING (HOSTING VIRTUAL)";"CLT140_TRI_DED_GRUPOAVAL006_FP | Virtualization Layer Software (d-tfm3991-cv20-0210-ch12v5)";"12/04/23 22:39:38"
"fiduadfs";"true";"TGXU008";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // BOGOTA // TRIARA // BOGOTA // HOSTING (SERVIDOR VIRTUAL)";"CLT127_TRI_DED_FIDUAGRARIA_FP | Virtualization Layer Software (d-sfd0085-eq18-0210-ch121v3)";"17/02/23 22:32:54"
"tfm1040_efeso";"true";"TFM1040";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI - SERVIDOR FISICO PROYECTO HA OMW y NNMi";"";"28/02/23 16:28:59"
"win-busservicios1";"true";"FQA0193";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTÁ DC // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT142_TRI_DED_COREC1_ACI | Virtualization Layer Software (d-fqa0152-gbd15-18-2288hv5)";"17/02/23 22:40:18"
"svrtev9";"true";"TTF0046";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM  // HOSTING   / TTF0046";"CLT302_TRI_COM_DECACORE001 | Virtualization Layer Software";"18/02/23 21:08:30"
"siar";"true";"TFM4144";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_ACI_TRIARA_VIRTUAL_1";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm2794-eq18-0204-ch121v5)";"22/04/23 21:09:10"
"piropo";"true";"TMP0437";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"****NUEVA INSTALACIÓN ***** SERVIDOR PROYECTO MIGRACIÓN AD EL TIEMPO // HOSTING (HOSTING VIRTUAL) TMP0437";"CLT115_TRI_DED_GRUPOAVAL002 _FP | Virtualization Layer Software";"22/04/23 21:07:14"
